Algorithm,Size,Time
MergeSortI,10000,0.001234
MergeSortI,10000,0.001233
MergeSortI,10000,0.001262
MergeSortI,10000,0.001314
MergeSortI,10000,0.001244
MergeSortI,10000,0.001582
MergeSortI,10000,0.001243
MergeSortI,10000,0.001248
MergeSortI,10000,0.001323
MergeSortI,100000,0.014041
MergeSortI,100000,0.013328
MergeSortI,100000,0.013221
MergeSortI,100000,0.013289
MergeSortI,100000,0.013219
MergeSortI,100000,0.013206
MergeSortI,100000,0.013210
MergeSortI,100000,0.013547
MergeSortI,100000,0.015122
MergeSortI,100000,0.013245
MergeSortI,100000,0.013242
MergeSortI,100000,0.013233
MergeSortI,100000,0.013218
MergeSortI,100000,0.013202
MergeSortI,100000,0.013201
MergeSortI,100000,0.013262
MergeSortI,100000,0.013748
MergeSortI,100000,0.017936
MergeSortI,100000,0.013298
MergeSortI,100000,0.013223
MergeSortI,100000,0.013236
MergeSortI,100000,0.013241
MergeSortI,100000,0.013313
MergeSortI,100000,0.013224
MergeSortI,100000,0.014425
MergeSortI,100000,0.013485
MergeSortI,100000,0.013236
MergeSortI,100000,0.013645
MergeSortI,100000,0.013287
MergeSortI,100000,0.013590
MergeSortR,1000,0.000170
MergeSortR,1000,0.000106
MergeSortR,1000,0.000104
MergeSortR,1000,0.000102
MergeSortR,1000,0.000102
MergeSortR,1000,0.000102
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000108
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000102
MergeSortR,1000,0.000102
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000123
MergeSortR,1000,0.000136
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000101
MergeSortR,1000,0.000168
MergeSortR,1000,0.000151
MergeSortR,1000,0.000140
MergeSortR,1000,0.000163
MergeSortR,1000,0.000230
MergeSortR,1000,0.000165
MergeSortR,10000,0.001287
MergeSortR,10000,0.001409
MergeSortR,10000,0.001336
MergeSortR,10000,0.001473
MergeSortR,10000,0.001529
MergeSortR,10000,0.001251
MergeSortR,10000,0.001265
MergeSortR,10000,0.001243
MergeSortR,10000,0.001242
MergeSortR,10000,0.001242
MergeSortR,10000,0.001368
MergeSortR,10000,0.001245
MergeSortR,10000,0.001461
MergeSortR,10000,0.001352
MergeSortR,10000,0.001251
MergeSortR,10000,0.001264
MergeSortR,10000,0.001248
MergeSortR,10000,0.001242
MergeSortR,10000,0.001239
MergeSortR,10000,0.001239
MergeSortR,10000,0.001239
MergeSortR,10000,0.001328
MergeSortR,10000,0.001301
MergeSortR,10000,0.001317
MergeSortR,10000,0.001516
MergeSortR,10000,0.001247
MergeSortR,10000,0.001245
MergeSortR,10000,0.001335
MergeSortR,10000,0.001249
MergeSortR,10000,0.001246
MergeSortR,100000,0.013788
MergeSortR,100000,0.013265
MergeSortR,100000,0.013161
MergeSortR,100000,0.013202
MergeSortR,100000,0.013184
MergeSortR,100000,0.013170
MergeSortR,100000,0.013151
MergeSortR,100000,0.013152
MergeSortR,100000,0.014154
MergeSortR,100000,0.013222
MergeSortR,100000,0.013155
MergeSortR,100000,0.013812
MergeSortR,100000,0.013168
MergeSortR,100000,0.013166
MergeSortR,100000,0.013180
MergeSortR,100000,0.013203
MergeSortR,100000,0.013180
MergeSortR,100000,0.013157
MergeSortR,100000,0.013156
MergeSortR,100000,0.013162
MergeSortR,100000,0.013168
MergeSortR,100000,0.013242
MergeSortR,100000,0.013285
MergeSortR,100000,0.013182
MergeSortR,100000,0.013162
MergeSortR,100000,0.013165
MergeSortR,100000,0.013156
MergeSortR,100000,0.013163
MergeSortR,100000,0.013156
MergeSortR,100000,0.013360
BubbleSortI,1000,0.001998
BubbleSortI,1000,0.001977
BubbleSortI,1000,0.001930
BubbleSortI,1000,0.001922
BubbleSortI,1000,0.001922
BubbleSortI,1000,0.001922
BubbleSortI,1000,0.001920
BubbleSortI,1000,0.001914
BubbleSortI,1000,0.001913
BubbleSortI,1000,0.001967
BubbleSortI,1000,0.001921
BubbleSortI,1000,0.001922
BubbleSortI,1000,0.001907
BubbleSortI,1000,0.001917
BubbleSortI,1000,0.001916
BubbleSortI,1000,0.001900
BubbleSortI,1000,0.001903
BubbleSortI,1000,0.001918
BubbleSortI,1000,0.001944
BubbleSortI,1000,0.001913
BubbleSortI,1000,0.001908
BubbleSortI,1000,0.001909
BubbleSortI,1000,0.001907
BubbleSortI,1000,0.001913
BubbleSortI,1000,0.001907
BubbleSortI,1000,0.001990
BubbleSortI,1000,0.001921
BubbleSortI,1000,0.001912
BubbleSortI,1000,0.001913
BubbleSortI,1000,0.001916
BubbleSortI,10000,0.247255
BubbleSortI,10000,0.246419
BubbleSortI,10000,0.245253
BubbleSortI,10000,0.246258
BubbleSortI,10000,0.245727
BubbleSortI,10000,0.246295
BubbleSortI,10000,0.245628
BubbleSortI,10000,0.246529
BubbleSortI,10000,0.245864
BubbleSortI,10000,0.246364
BubbleSortI,10000,0.246176
BubbleSortI,10000,0.246636
BubbleSortI,10000,0.246178
BubbleSortI,10000,0.247269
BubbleSortI,10000,0.243961
BubbleSortI,10000,0.243989
BubbleSortI,10000,0.244169
BubbleSortI,10000,0.244253
BubbleSortI,10000,0.248528
BubbleSortI,10000,0.245519
BubbleSortI,10000,0.245514
BubbleSortI,10000,0.248382
BubbleSortI,10000,0.245452
BubbleSortI,10000,0.245142
BubbleSortI,10000,0.245854
BubbleSortI,10000,0.245007
BubbleSortI,10000,0.245849
